question,answer,label
Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?,"Gordon’s bags weigh 3 + 7 = <<3+7=10>>10 pounds.
Trace’s five bags all weigh the same amount, so each bag weighs 10 / 5 = <<10/5=2>>2 pounds.
#### 2",2
A library has a number of books. 35% of them are intended for children and 104 of them are for adults. How many books are in the library?,"65% of the library books are for adults because 100 - 35 = <<100-35=65>>65
There are 160 library books in total because 104 / .65 = <<104/.65=160>>160
#### 160",160
"Nicky is trading baseball cards with Jill. If Nicky trades two cards worth $8 each for 1 card worth $21, how many dollars of profit does he make?","First find the total cost of the two $8 cards: $8/card * 2 cards = $<<8*2=16>>16
Then subtract the cost of the cards Nicky gave away from the cost of the card he received to find his profit: $21 - $16 = $<<21-16=5>>5
#### 5",5
"Patricia is making a highlight film about her basketball team. She recorded video of every player and plans to put it all together in a longer movie. She has 130 seconds of the point guard, 145 seconds of the shooting guard, 85 seconds of the small forward, 60 seconds of the power forward, and 180 seconds of the center. How on average, how many minutes does each player get?","The total movie is 600 seconds long because 130 + 145 + 85 + 60 + 180 = <<130+145+85+60+180=600>>600
The total movie is 10 minutes long because 600 / 60 = <<600/60=10>>10
On average each player gets 2 minutes because 10 / 5 = <<10/5=2>>2
#### 2",2
"Julie, Letitia and Anton decided to have dinner together at a nearby restaurant.  Julie orders $10 worth of food, Letitia orders $20 worth of food, and Anton orders $30 worth of food.  How much should each pay in tips if they want to split a 20% tip for the whole meal evenly?","First, we need to determine how much the entire meal costs before we can determine the tip. We perform 10+20+30=<<10+20+30=60>>60 dollars worth of food.
Now we need to find out how much the total tip to be paid is, by multiplying 60*.2=12 dollars in tips.
Since they want to split this evenly amongst three people, this works out to 12/3= <<12/3=4>>4 dollars in tips per person.
#### 4",4
Niko has bought 9 pairs of socks that cost $2 each and plans to resell them. He wants to gain 25% profit from four of the pairs of socks and $0.2 profit each for the other 5 pairs of socks. How much will his total profit be?,"Niko will earn $2 x 25/100 = $<<2*25/100=0.5>>0.5 profit for each of the first four pairs of socks.
So, his total profit for the four pairs of socks will be $0.5 x 4 = $<<0.5*4=2>>2.
His total earnings for the 5 pairs of socks is $0.2 x 5 = $<<0.2*5=1>>1.
Therefore, his total profit will be $2 + $1 = $<<2+1=3>>3.
#### 3",3
"The number of short students in a class is 2/5 of the total number of students. If there are 90 tall students, and the class has 400 students, calculate the total number of students with average height.","The number of short students in the class is 2/5*400 = <<2/5*400=160>>160
The total number of short and tall students is 160+90 = <<160+90=250>>250
Since there are 400 students in the class, the number of students with average height is 400-250 = <<400-250=150>>150
#### 150",150
James buys 20 coins of a cryptocurrency at $15 each.  The value of the coins increases by 2/3.  He sells coins to recoup his original investment.  How many coins did he sell?,"His original investment was 15*20=$<<15*20=300>>300
The value of his investment increases by 15*2/3=$<<15*2/3=10>>10 per coin
So each coin was worth 15+10=$<<15+10=25>>25
So he sold 300/25=<<300/25=12>>12 coins
#### 12",12
"In the park, the first rose bush has 12 red flowers.  The second rose bush has 18 pink flowers.  The third rose bush has 20 yellow flowers.  The fourth rose bush has 8 orange flowers.  For her vase, Lorelei picks 50% of the red roses, 50% pink roses, 25% of the yellow roses, and 25% orange roses. How many roses are in her vase?","The number of red roses Lorelei picks is 12 x 50% = <<12*50*.01=6>>6 roses.
The number of pink roses Lorelei picks is 18 x 50% = <<18*50*.01=9>>9 roses.
The number of yellow roses she picks is 20 x 25% = <<20*25*.01=5>>5 roses.
The number of orange roses she picks is 8 x 25% = <<8*25*.01=2>>2 roses.
The total number of roses in her vase is 6 + 9 + 5 + 2 = <<6+9+5+2=22>>22 roses.
#### 22",22
"Tonya has opened a lemonade stand selling lemonade in small, medium, and large cups at $1, $2 and $3 respectively. At the close of business she ended up making $50.  As she went back through her inventory she noticed that she sold $11 worth of small lemonades and $24 worth of medium lemonades. How many cups of large lemonade did Tonya sell?","1. Tonya sold $11 worth of small lemonades and $24 worth of medium lemonades which makes $11 + $24= $<<11+24=35>>35 for small and medium lemonades.
2. Tonya made a total of $50. If she made $35 selling the two smaller sizes and she sold three sizes in all then $50-$35= $<<50-35=15>>15 worth of large lemonades.
3. The large lemonades sold for $3 each and Tonya sold $15 worth of large lemonades which means she sold $15/$3=<<15/3=5>>5 large cups of lemonade.
#### 5",5
